,Hostname,IP-Adresse,Seriennr
967,de-fid-thain-sh-01b,10.51.205.62,CN60FP71YG
968,de-fid-tutzi-sh-04c,10.51.192.182,CN57DRW0PV
969,de-fid-vilge-sh-01d,10.51.153.86,CN69DRR25J
970,de-fid-vilge-sh-01e,10.51.153.85,CN69DRV0XV
971,de-fid-wessl-sh-02a,10.51.142.126,CN57FPB1TK
972,de-fid-wessl-sh-02b,10.51.142.125,CN57DRW094
973,de-fid-wessl-sh-02c,10.51.142.124,CN57DRW0NC
974,de-fid-wessl-sh-02e,10.51.142.123,CN69DRV0VG
975,de-fid-woert-sh-11b,10.51.179.230,CN60FP71Y9
979,de-fid-dingo-sh-01a,10.51.152.54,CN82FP31VZ
980,de-fid-dingo-sh-01b,10.51.152.53,CN7AFPB6J0
981,de-fid-dingo-sh-02a,10.51.142.190,CN82FP31TZ
982,de-fid-dingo-sh-02b,10.51.142.189,CN82FP31WJ
983,de-fid-dingo-sh-02c,10.51.142.188,CN82FP31ZS
984,de-fid-dingo-sh-02d,10.51.142.187,CN82FP31VP
987,de-fid-front-sh-01a,10.51.187.230,CN7AFPB67G
997,de-fid-reisb-sh-01a,10.51.154.22,CN82FP31WN
998,de-fid-reisb-sh-01b,10.51.154.21,CN7AFPB6WH
1015,de-fid-teisb-sh-01a,10.51.206.198,CN78FPB18G
1115,de-fid-ainri-sh-02b,10.51.179.14,CN60DRW0PT
1116,de-fid-berge-sh-02b,10.51.187.190,CN7AFPB3N2
1117,de-fid-bisch-sh-12b,10.51.181.78,CN7AFPB2T5
1118,de-fid-brech-sh-03b,10.51.192.62,CN60DRW08C
1119,de-fid-burgh-sh-12b,10.51.189.110,CN7AFPB3KG
1120,de-fid-chiem-sh-01c,10.51.202.62,CN78DRW0V9
1121,de-fid-freil-sh-01a,10.51.144.126,CN88FPB13N
1122,de-fid-freil-sh-01b,10.51.144.125,CN88FPB1KC
1123,de-fid-freil-sh-01c,10.51.144.124,CN87FP34RD
1124,de-fid-freil-sh-01d,10.51.144.123,CN87FP34BJ
1125,de-fid-freil-sh-04b,10.51.196.78,CN60DRW089
1126,de-fid-frido-sh-02b,10.51.192.78,CN60DRW094
1127,de-fid-grabe-sh-14b,10.51.177.70,CN7AFPB3QW
1128,de-fid-inzel-sh-04b,10.51.202.70,CN7AFPB19Z
1129,de-fid-kirch-sh-57b,10.51.171.214,CN7AFPB3WP
1130,de-fid-laufe-sh-10b,10.51.187.6,CN7AFPB31N
1131,de-fid-petti-sh-03a,10.51.181.30,CN58FP735F
1132,de-fid-pidin-sh-04b,10.51.200.206,CN7AFPB3TW
1133,de-fid-ramsa-sh-04b,10.51.177.206,CN7AFPB3NV
1141,de-fid-reich-sh-19b,10.51.189.182,CN60DRW0FL
1142,de-fid-schoe-sh-50b,10.51.206.238,CN7AFPB3YZ
1145,de-fid-teise-sh-06b,10.51.206.246,CN7AFPB3N6
1146,de-fid-tittm-sh-07b,10.51.188.46,CN7AFPB3N8
1147,de-fid-traun-sh-04c,10.51.152.78,CN60DRW0FT
1148,de-fid-traun-sh-04d,10.51.152.77,CN7AFPB3PS
1149,de-fid-traun-sh-19a,10.51.191.230,CN3BDRW2BF
1150,de-fid-trost-sh-06b,10.51.192.126,CN60DRW06Y
1151,de-fid-vache-sh-01b,10.51.205.142,CN7AFPB31F
1152,de-fid-wagin-sh-05b,10.51.162.190,CN60DRW0CS
1153,de-fid-wasse-sh-09b,10.51.159.62,CN7AFPB41P
1154,de-fid-blauf-sh-03a,10.178.202.86,CN2ADRW126
1155,de-fid-blauf-sh-04b,10.178.170.222,CN83FPB04N
1156,de-fid-bretz-sh-07b,10.178.201.150,CN83FPB01H
1157,de-fid-bretz-sh-09b,10.178.171.70,CN83FPB0M9
1158,de-fid-crail-sh-12b,10.178.197.118,CN92FPB0V3
1159,de-fid-crail-sh-12c,10.178.197.117,CN05FPB0FS
1160,de-fid-doerz-sh-03b,10.178.207.102,CN83FPB0JG
1161,de-fid-forch-sh-18b,10.178.171.134,CN83FPB0G6
1162,de-fid-gerab-sh-03c,10.178.177.230,CN95FP3D5N
1163,de-fid-ingel-sh-05b,10.178.204.166,CN7AFPB1JD
1164,de-fid-kirch-sh-66a,10.178.182.70,CN38DRW0NZ
1165,de-fid-kirch-sh-66b,10.178.177.229,CN0AFP34Q9
1175,de-fid-kuenz-sh-10b,10.178.192.150,CN81FPC0GS
1176,de-fid-kuenz-sh-11b,10.178.198.78,CN7BFPB15D
1177,de-fid-kupfe-sh-04a,10.178.171.238,CN38DRW02X
1178,de-fid-lange-sh-62b,10.178.201.30,CN83FPB0DC
1179,de-fid-neuen-sh-05b,10.178.207.86,CN92FPB0BM
1180,de-fid-niede-sh-31b,10.178.193.238,CN7BFPB18J
1181,de-fid-niede-sh-33a,10.178.200.38,CN2ADRW0QY
1193,de-fid-oehri-sh-11b,10.178.188.222,CN83FPB077
1194,de-fid-oehri-sh-15b,10.178.191.94,CN85FPC059
1195,de-fid-pfede-sh-06b,10.178.215.69,CN83FPB05Y
1196,de-fid-pfede-sh-07b,10.178.215.70,CN95FP3DKB
1197,de-fid-rotam-sh-03b,10.178.201.198,CN83FPB0GS
1198,de-fid-schro-sh-14b,10.178.207.78,CN83FPB0JJ
1199,de-fid-walde-sh-17b,10.178.193.198,CN83FPB02N
1200,de-fid-weiss-sh-17b,10.178.180.254,CN83FPB0LD
1201,de-fid-wuest-sh-01b,10.178.200.134,CN92FPB0TS
1206,de-fid-denki-sh-01a,10.178.169.142,CN83FPB1XB
1207,de-fid-dieti-sh-06b,10.178.170.94,CN8BFPB0KJ
1209,de-fid-epfen-sh-07b,10.178.174.38,CN8BFPB04R
1210,de-fid-fritt-sh-02b,10.178.207.190,CN8BFPB02Y
1211,de-fid-obern-sh-16b,10.178.180.230,CN8BFPB0JF
1225,de-fid-villi-sh-20b,10.178.179.142,CN8BFPB034
1226,de-fid-voehr-sh-03b,10.178.189.214,CN8BFPB0BN
1227,de-fid-welle-sh-03b,10.178.176.54,CN89FPB10H
1267,de-fid-sigma-sh-01a,10.51.180.110,CN89FPB11G
1310,de-fid-aichh-sh-01a,10.178.214.150,CN64DRR19V
1311,de-fid-aldin-sh-01a,10.178.183.246,CN57DRV1Y5
1312,de-fid-boesi-sh-03a,10.178.161.94,CN83DRV058
1313,de-fid-boett-sh-03a,10.178.178.254,CN58DRR06F
1317,de-fid-dunni-sh-01a,10.178.169.94,CN71DRR08R
1318,de-fid-dunni-sh-04a,10.178.150.222,CN83DRV055
1319,de-fid-emmin-sh-03a,10.178.170.174,CN61DRR08F
1320,de-fid-emmin-sh-03b,10.178.170.173,CN83DRV08H
1321,de-fid-emmin-sh-04a,10.178.179.110,CN57DRV29M
1322,de-fid-fluor-sh-02a,10.178.194.166,CN69DRR28D
1323,de-fid-goshe-sh-03a,10.178.177.182,CN61DRR0MC
1324,de-fid-immen-sh-20a,10.178.182.38,CN61DRR08J
1325,de-fid-laute-sh-11a,10.178.151.158,CN83DRV009
1326,de-fid-moehr-sh-03a,10.178.206.62,CN61DRR0H4
1327,de-fid-nendi-sh-02a,10.178.197.230,CN61DRR0LR
1328,de-fid-neuha-sh-61a,10.178.180.166,CN61DRR0KC
1330,de-fid-obern-sh-01a,10.178.188.46,CN64DRR0YV
1331,de-fid-rieth-sh-02a,10.178.186.214,CN61DRR02Q
1332,de-fid-schra-sh-01a,10.178.167.14,CN83DRV099
1333,de-fid-schra-sh-01b,10.178.167.13,CN73DRV01B
1334,de-fid-schra-sh-02a,10.178.209.78,CN65DRV00K
1335,de-fid-schra-sh-03a,10.178.211.78,CN64DRR17Z
1336,de-fid-seiti-sh-02a,10.178.190.142,CN61DRR080
1337,de-fid-spaic-sh-01a,10.178.155.246,CN57DRV1TT
1338,de-fid-spaic-sh-01b,10.178.155.245,CN60FPB185
1339,de-fid-tunin-sh-02a,10.178.180.134,CN57DRV25S
1340,de-fid-tunin-sh-03a,10.178.157.78,CN83DRV02X
1341,de-fid-tunin-sh-03b,10.178.157.77,CN83DRV008
1342,de-fid-tunin-sh-03c,10.178.157.76,CN9AFPB0FV
1343,de-fid-tunin-sh-03d,10.178.157.75,CN9AFPB0FT
1351,de-fid-tuttl-sh-03a,10.178.189.6,CN59DRR04Q
1359,de-fid-villi-sh-18a,10.178.186.150,CN57DRV1TN
1360,de-fid-wehin-sh-03a,10.178.163.6,CN57DRV1Q5
1361,de-fid-wehin-sh-03b,10.178.163.5,CN60FPB17Z
1362,de-fid-wurml-sh-02a,10.178.180.150,CN61DRR0RF
1464,de-fid-gilch-sh-04d,10.51.149.182,CN78DRW0FR
1465,de-fid-gilch-sh-04e,10.51.149.181,CN78DRW0H6
1466,de-fid-neugi-sh-02b,10.51.184.126,CN78FPB0MV
1470,de-fid-nienb-sh-01a,10.59.198.77,CN11FPC18Y
