,Hostname,IP-Adresse,Seriennr
4263,de-fid-stadt-sh-16a,10.51.192.230,CN7BFP72SY
4264,de-fid-stein-sh-02b,10.51.204.142,CN85FP72XS
4265,de-fid-stein-sh-23b,10.51.205.54,CN85FP717M
4266,de-fid-tetta-sh-01b,10.51.198.70,CN85FP7208
4267,de-fid-thurn-sh-03a,10.51.205.134,CN7BFP732J
4268,de-fid-trebg-sh-01a,10.51.165.246,CN7BFP7311
4269,de-fid-ustei-sh-01a,10.51.175.22,CN7BFP7314
4270,de-fid-walle-sh-06b,10.51.177.22,CN85FP7210
4271,de-fid-wurzb-sh-01b,10.51.193.222,CN85FP72V1
4272,de-fid-badfu-sh-05a,10.51.169.166,CN6BDRR0RV
4273,de-fid-freyu-sh-02c,10.51.154.198,CN75FP61Q9
4274,de-fid-freyu-sh-02d,10.51.154.197,CN6AFP744H
4275,de-fid-fuers-sh-06a,10.51.180.46,CN71DRR047
4276,de-fid-fzell-sh-02c,10.51.157.134,CN75FP61MX
4277,de-fid-fzell-sh-02d,10.51.157.133,CN75FP627F
4278,de-fid-fzell-sh-02e,10.51.157.132,CN0AFP64XL
4279,de-fid-hauze-sh-01a,10.51.191.102,CN78DRR3GG
4280,de-fid-hauze-sh-02a,10.51.181.174,CN77DRR0KV
4281,de-fid-hauze-sh-03a,10.51.200.238,CN82DRR03M
4282,de-fid-hauze-sh-04a,10.51.164.22,CN6BDRR0RG
4283,de-fid-hauze-sh-08b,10.51.198.46,CN7ADRV004
4284,de-fid-hinte-sh-02a,10.51.167.6,CN71DRR03B
4285,de-fid-hohen-sh-36a,10.51.188.110,CN41DRV02M
4286,de-fid-neubu-sh-06a,10.51.190.6,CN6BDRR0RT
4287,de-fid-obern-sh-05a,10.51.186.70,CN78DRR1DN
4290,de-fid-passa-sh-03a,10.51.153.174,CN61FP60GZ
4291,de-fid-passa-sh-03b,10.51.153.173,CN61FP60N9
4292,de-fid-passa-sh-04a,10.51.168.46,CN71DRR09L
4293,de-fid-passa-sh-05a,10.51.196.134,CN70DRR0ZY
4294,de-fid-passa-sh-06a,10.51.170.134,CN78DRR13R
4295,de-fid-pocki-sh-04a,10.51.173.126,CN71DRR0HG
4296,de-fid-salzw-sh-09b,10.51.164.54,CN99FP70JJ
4297,de-fid-salzw-sh-10a,10.51.151.118,CN22DRV1P1
4298,de-fid-salzw-sh-10b,10.51.151.117,CN22DRV1K3
4299,de-fid-sonne-sh-01a,10.51.204.22,CN78DRR1FV
4300,de-fid-thyrn-sh-01a,10.51.169.182,CN70DRR0W9
4301,de-fid-thyrn-sh-05a,10.51.167.78,CN26DRV0ZP
4302,de-fid-unter-sh-01a,10.51.202.182,CN69DRV0X4
4303,de-fid-unter-sh-04a,10.51.202.174,CN74DRR0G3
4320,de-fid-bergh-sh-02a,10.51.188.70,CN61FPB1SC
4322,de-fid-brunn-sh-04a,10.51.200.94,CN66FPB15Q
4323,de-fid-brunn-sh-05a,10.51.180.22,CN61FPB1SY
4345,de-fid-licht-sh-02a,10.51.160.150,CN66FPB1KB
4346,de-fid-neubu-sh-02a,10.51.170.30,CN61FPB0N7
4368,de-fid-gredi-sh-05a,10.51.204.198,CN39FP75Z4
4369,de-fid-thalm-sh-02a,10.51.189.102,CN39DRV30Y
4370,de-fid-wuest-sh-04a,10.51.205.94,CN84DRW03Y
4383,de-fid-wette-sh-05c,10.178.150.198,CN93FP61YR
4391,de-fid-burgw-sh-03a,10.51.171.158,CN83DRV0B8
4392,de-fid-ebrac-sh-01a,10.51.167.118,CN83DRV0QT
4393,de-fid-frens-sh-03b,10.51.155.254,CN64FP7555
4394,de-fid-frens-sh-03c,10.51.155.253,CN83DRV0D6
4395,de-fid-petts-sh-01a,10.51.159.70,CN83DRV0CP
4396,de-fid-reich-sh-17a,10.51.196.198,CN83DRV085
4397,de-fid-schoe-sh-40a,10.51.182.94,CN73DRV044
4398,de-fid-stega-sh-01a,10.51.146.70,CN83DRV09L
4399,de-fid-stega-sh-01b,10.51.146.69,CN83DRV097
4400,de-fid-stega-sh-01c,10.51.146.68,CN83DRV0K5
4401,de-fid-oberm-sh-08b,10.178.164.30,CN61DRR08Y
4402,de-fid-oberm-sh-08c,10.178.164.29,CN78DRW0CW
4403,de-fid-cadol-sh-02b,10.51.165.214,CN6BFPB0DP
4405,de-fid-obera-sh-05b,10.51.194.206,CN59DRW08K
4408,de-fid-zirnd-sh-01c,10.51.153.30,CN47DRW0NF
4409,de-fid-zirnd-sh-01d,10.51.153.29,CN47DRW0XJ
4412,de-fid-adels-sh-06a,10.51.155.94,CN26DRV10J
4413,de-fid-adels-sh-06b,10.51.155.93,CN94FPC0KN
4423,de-fid-aurac-sh-01a,10.51.164.174,CN7BDRW07Z
4424,de-fid-baier-sh-10a,10.51.148.14,CN29DRR1SR
4425,de-fid-baier-sh-10b,10.51.148.13,CN94FPC00W
4426,de-fid-baude-sh-01a,10.51.201.174,CN79DRW02W
4427,de-fid-bibar-sh-01a,10.51.169.190,CN78DRW009
4428,de-fid-buben-sh-03a,10.51.193.6,CN27DRV06W
4429,de-fid-burgf-sh-01a,10.51.151.173,CN79DRW02T
4430,de-fid-burgh-sh-01a,10.51.170.166,CN79DRW08K
4431,de-fid-diesp-sh-01a,10.51.204.222,CN79DRW066
4434,de-fid-emski-sh-01a,10.51.173.198,CN7BDRW0B5
4453,de-fid-erlan-sh-02a,10.51.201.14,CN29DRR1KH
4454,de-fid-erlan-sh-03a,10.51.165.54,CN29DRR1S0
4455,de-fid-erlan-sh-04a,10.51.180.182,CN26DRV10L
4456,de-fid-erlan-sh-06a,10.51.179.62,CN27DRV0J5
4457,de-fid-erlan-sh-08a,10.176.53.222,CN29DRR1S1
4458,de-fid-erlan-sh-10a,10.176.25.134,CN24DRR1PS
4460,de-fid-erlan-sh-17a,10.51.155.142,CN29DRR1Q7
4461,de-fid-erlan-sh-17b,10.51.155.141,CN27DRR1VR
4462,de-fid-erlan-sh-50a,10.51.179.206,CN94FPC0WS
4466,de-fid-fuert-sh-01a,10.51.199.158,CN7BDRW04F
4467,de-fid-fuert-sh-07c,10.51.145.221,CN59DRW024
4468,de-fid-fuert-sh-07d,10.51.145.220,CN5BFP70WQ
4469,de-fid-gollh-sh-01a,10.51.181.86,CN7BDRW05Z
4470,de-fid-hemho-sh-01a,10.51.179.238,CN29DRR237
4471,de-fid-herzo-sh-06a,10.51.154.230,CN27DRV1GH
4472,de-fid-herzo-sh-06b,10.51.154.229,CN4AFPB1DW
4473,de-fid-herzo-sh-50a,10.51.178.118,CN94FPC12D
4474,de-fid-hessd-sh-01a,10.51.193.134,CN7BDRW09N
4475,de-fid-hoech-sh-01a,10.51.155.230,CN26DRV111
4476,de-fid-hoech-sh-01b,10.51.155.229,CN4AFPB14Y
4477,de-fid-hoech-sh-02a,10.51.182.222,CN24DRR24H
4478,de-fid-hoech-sh-02b,10.51.182.221,CN94FPC11C
4479,de-fid-kalch-sh-01a,10.51.206.254,CN29DRR18L
4482,de-fid-lange-sh-04a,10.51.203.22,CN79DRW0BS
4483,de-fid-lange-sh-20a,10.51.179.22,CN26DRV104
4485,de-fid-lonne-sh-01a,10.51.193.158,CN29DRR1YP
4486,de-fid-markt-sh-01a,10.51.191.206,CN78DRW0L0
4487,de-fid-neuho-sh-01a,10.51.169.22,CN7BDRW04P
4488,de-fid-neunk-sh-02a,10.51.195.102,CN86DRW062
4498,de-fid-nuern-sh-01a,10.51.192.54,CN79DRW03C
4499,de-fid-nuern-sh-03a,10.51.207.110,CN8AFPB0SQ
4514,de-fid-schei-sh-01a,10.51.183.182,CN78DRW026
4517,de-fid-siege-sh-01a,10.51.174.230,CN79DRW056
4518,de-fid-spard-sh-01a,10.51.147.150,CN29DRR236
4519,de-fid-spard-sh-01b,10.51.147.149,CN24DRR256
4523,de-fid-sugen-sh-01a,10.51.169.78,CN79DRW023
4525,de-fid-uffen-sh-01a,10.51.147.198,CN78DRW018
4526,de-fid-uffen-sh-01b,10.51.147.197,CN78DRW0PN
4528,de-fid-utten-sh-04a,10.51.171.46,CN29DRR26L
4536,de-fid-badst-sh-03a,10.51.194.102,CN3BDRR0J3
4537,de-fid-ebens-sh-01b,10.51.178.78,CN31DRV0HY
4538,de-fid-ebens-sh-02b,10.51.205.190,CN7BFP72PJ
4552,de-fid-cobur-sh-40a,10.51.162.78,CN8BFPB0H3
4553,de-fid-cobur-sh-41a,10.51.175.182,CN8BFPB0HP
4554,de-fid-doerf-sh-40a,10.51.179.70,CN8BFPB04Q
4555,de-fid-eber3-sh-01b,10.51.185.110,CN60DRW038
4556,de-fid-gruba-sh-40a,10.51.171.54,CN8BFPB0DL
4557,de-fid-laute-sh-40a,10.51.173.182,CN8BFPB0F1
4558,de-fid-meede-sh-40a,10.51.166.102,CN8BFPB0PF
4559,de-fid-neuha-sh-40a,10.51.190.190,CN8BFPB052
4560,de-fid-neusd-sh-01a,10.51.187.22,CN89FPB10N
4561,de-fid-rodac-sh-01a,10.51.208.54,CN97FP30HV
4562,de-fid-roedt-sh-11a,10.51.150.14,CN26DRW0M3
4563,de-fid-roedt-sh-11b,10.51.150.13,CN89FPB0XT
4564,de-fid-schal-sh-40a,10.51.201.102,CN89FPB10Z
4565,de-fid-sonne-sh-10b,10.51.208.46,CN60DRW00G
4566,de-fid-sonne-sh-40a,10.51.160.6,CN8BFPB022
4567,de-fid-sonne-sh-41a,10.51.185.254,CN45FPB10X
4568,de-fid-sonne-sh-42a,10.51.199.246,CN8BFPB0FF
4569,de-fid-stein-sh-40a,10.51.189.246,CN8BFPB0RM
4570,de-fid-weidh-sh-40a,10.51.195.22,CN8BFPB00H
4571,de-fid-weitr-sh-40a,10.51.161.190,CN8BFPB03M
4576,de-fid-buech-sh-01a,10.51.150.102,CN29DRW21Y
4577,de-fid-buech-sh-01b,10.51.150.101,CN29DRW2PR
4578,de-fid-georm-sh-01a,10.51.147.54,CN2ADRW14M
4579,de-fid-georm-sh-01b,10.51.147.53,CN29DRW1KY
4580,de-fid-georm-sh-01c,10.51.147.52,CN29DRW2CT
4581,de-fid-roth0-sh-01a,10.51.147.70,CN29DRW2P4
4582,de-fid-roth0-sh-01b,10.51.147.69,CN29DRW2G0
4583,de-fid-roth0-sh-01c,10.51.147.68,CN29DRW2B8
4599,FNH001BV,10.51.186.242,CN0AFPB06Z
4604,de-fid-grafe-sh-13b,10.51.198.166,CN64FPB1RS
4605,de-fid-helmb-sh-02b,10.51.168.246,CN61FPB1JB
4606,de-fid-markt-sh-25b,10.51.153.46,CN6ADRV01P
4607,de-fid-markt-sh-25c,10.51.153.45,CN60DRW053
4608,de-fid-markt-sh-26b,10.51.180.102,CN4AFPB1PZ
4609,de-fid-markt-sh-27b,10.51.201.62,CN61FPB1VQ
4610,de-fid-press-sh-05b,10.51.189.70,CN7BFPB15Q
4611,de-fid-alerh-sh-01a,10.51.196.238,CN50DRR0MS
4612,de-fid-ederh-sh-01a,10.51.187.46,CN62DRR0S1
4613,de-fid-forhe-sh-01a,10.51.180.206,CN63DRR0QL
4614,de-fid-fremd-sh-01a,10.51.189.86,CN63DRR04C
4615,de-fid-maihi-sh-01a,10.51.203.142,CN63DRR04J
4616,de-fid-markt-sh-24a,10.51.166.126,CN63DRR0MS
4617,de-fid-moenc-sh-03a,10.51.169.62,CN61DRR0B5
4618,de-fid-moett-sh-02a,10.51.165.230,CN56DRV17G
4619,de-fid-munni-sh-06a,10.51.190.46,CN61DRR08M
4626,de-fid-noerd-sh-02a,10.51.169.254,CN58DRR034
4627,de-fid-noerd-sh-04a,10.51.184.30,CN56DRR1DV
4628,de-fid-noerd-sh-05a,10.51.166.30,CN58DRR015
4629,de-fid-oetti-sh-02c,10.51.157.110,CN78FP772J
4630,de-fid-oetti-sh-02d,10.51.157.109,CN79FP65CP
4631,de-fid-reiml-sh-01a,10.51.167.86,CN59DRR0F5
4632,de-fid-walle-sh-07c,10.51.154.222,CN78FP779D
4633,de-fid-walle-sh-07d,10.51.154.221,CN79FP65D8
4715,de-fid-dachs-sh-01a,10.51.191.14,CN86DRW04J
4716,de-fid-uehlf-sh-01a,10.51.176.158,CN83FPB21R
4841,de-fid-arnsc-sh-01b,10.51.162.62,CN8AHL313Q
4855,de-fid-cham1-sh-03a,10.51.203.166,CN8AHL304D
4856,de-fid-chams-sh-01a,10.51.162.110,CN80HL33XL
4857,de-fid-furth-sh-06c,10.51.149.38,CN60DRW06J
4858,de-fid-furth-sh-06d,10.51.149.37,CN7BDRW043
4859,de-fid-geiga-sh-01a,10.51.166.166,CN8AHL309C
4860,de-fid-mitte-sh-11a,10.51.164.126,CN80HL34KS
4861,de-fid-rodin-sh-01a,10.51.143.222,CN8AHL30P7
4862,de-fid-rodin-sh-01b,10.51.143.221,CN8AHL307Y
4863,de-fid-rodin-sh-01e,10.51.143.220,CN60DRW0BM
4864,de-fid-rodin-sh-01f,10.51.143.219,CN60DRW0G7
4865,de-fid-roetz-sh-02b,10.51.166.238,CN60DRW0CT
4866,de-fid-schor-sh-22a,10.51.200.174,CN8AHL304V
4867,de-fid-stams-sh-01a,10.51.177.46,CN80HL344L
4868,de-fid-tiefe-sh-02a,10.51.162.206,CN80HL34S6
4869,de-fid-walde-sh-02a,10.51.192.30,CN80HL34R9
4870,de-fid-walmu-sh-01a,10.51.171.102,CN8AHL310S
4871,de-fid-wilti-sh-02a,10.51.188.142,CN8AHL30YP
4872,de-fid-zell1-sh-01a,10.176.44.36,CN80HL34Y4
4895,de-fid-hambu-sh-01a,10.178.152.150,CN89FPB0Y2
4896,de-fid-hambu-sh-01b,10.178.152.149,CN60DRR0HP
4897,de-fid-hambu-sh-01c,10.178.152.148,CN69DRV089
5028,de-fid-0725-sh-03a,10.51.206.62,CN30DRW0R0
5029,de-fid-0725-sh-05b,10.51.192.222,CN7AFPB12L
5030,de-fid-0725-sh-06b,10.51.184.6,CN79FPB1QH
5031,de-fid-0725-sh-07b,10.51.162.222,CN79FPB1Q8
5032,de-fid-0725-sh-09a,10.51.178.182,CN89FPB124
5036,de-fid-banby-sh-01a,10.51.209.182,CN0AFPB05S
5038,de-fid-remse-sh-07a,10.178.145.222,CN41FP634C
5039,de-fid-remse-sh-07b,10.178.145.221,CN41FP62Q5
5040,de-fid-remse-sh-07c,10.178.145.220,CN3BDRR1ZD
5041,de-fid-remse-sh-07d,10.178.145.219,CN39DRR3RP
5042,de-fid-remse-sh-07e,10.178.145.218,CN3BDRR2RG
5043,de-fid-remse-sh-12a,10.178.210.30,CN39DRR456
5105,de-fid-asper-sh-01a,10.178.217.70,CN79FPC045
5115,de-fid-oberr-sh-01b,10.178.172.150,CN94FPB00C
5116,de-fid-pflug-sh-02b,10.178.175.126,CN92FPB0TR
5119,de-fid-tamm1-sh-01a,10.178.209.118,CN79FPC04N
5120,de-fid-unter-sh-06b,10.178.214.30,CN94FPB05D
5121,de-fid-absta-sh-04a,10.178.210.102,CN89FPB1DV
5129,de-fid-obers-sh-43a,10.178.195.62,CN89FPB195
5130,de-fid-unter-sh-73a,10.178.173.102,CN89FPB0WW
5131,de-fid-zaber-sh-09a,10.178.180.214,CN89FPB0V1
5170,de-fid-flein-sh-02a,10.178.142.92,CN79FP67Y7
5171,de-fid-flein-sh-02b,10.178.142.91,CN7BDRW052
5172,de-fid-flein-sh-02c,10.178.142.90,CN7BFP733X
5174,de-fid-talhe-sh-01a,10.178.216.118,CN7BDRW0F8
5196,de-fid-freud-sh-11b,10.51.173.30,CN69DRR2CK
5197,de-fid-hirsc-sh-08b,10.51.171.62,CN69DRV09G
5198,de-fid-schnb-sh-01c,10.51.178.126,CN68DRV081
5232,de-fid-auerb-sh-03d,10.51.145.118,CN60DRW066
5233,de-fid-auerb-sh-03e,10.51.145.117,CN60DRW09L
5234,de-fid-auerb-sh-03f,10.51.145.116,CN60DRW0B1
5236,de-fid-neuha-sh-01a,10.51.176.126,CN66FPB18X
5237,de-fid-neuki-sh-05a,10.51.190.86,CN61FPB1PW
5238,de-fid-neuki-sh-06a,10.51.160.14,CN92FPB042
5239,de-fid-weihe-sh-02a,10.51.170.118,CN61FPB1VW
5249,de-fid-floss-sh-02a,10.51.155.150,CN69DRR242
5250,de-fid-floss-sh-02b,10.51.155.149,CN69DRV0TP
5266,de-fid-nabbu-sh-01a,10.51.139.190,CN7AFPB1N2
5267,de-fid-nabbu-sh-01b,10.51.139.189,CN7BFP72LX
5268,de-fid-nabbu-sh-01c,10.51.139.188,CN7BFP72CQ
5269,de-fid-nabbu-sh-01d,10.51.139.187,CN79DRW025
5270,de-fid-nabbu-sh-01e,10.51.139.186,CN79DRW05Z
5271,de-fid-nabbu-sh-01f,10.51.139.185,CN79DRW08X
5273,de-fid-schoe-sh-20a,10.51.208.158,CN9AFPB0FM
5276,de-fid-taenn-sh-01a,10.51.208.62,CN9AFPB04S
5279,de-fid-winkl-sh-01a,10.51.208.166,CN9AFPB16Z
5455,de-fid-becki-sh-07b,10.178.172.214,CN89FPB0XD
5457,de-fid-dilli-sh-04a,10.178.182.102,CN32DRR0SQ
5458,de-fid-fried-sh-70b,10.178.217.78,CN8AFP33D3
5459,de-fid-klein-sh-21c,10.178.198.102,CN8AFP32B5
5469,de-fid-nalba-sh-06a,10.178.182.94,CN89FPB05V
5471,de-fid-puett-sh-02a,10.178.201.14,CN2BDRV01T
5472,de-fid-puett-sh-03a,10.178.165.253,CN2BDRV03H
5473,de-fid-puett-sh-03c,10.178.198.166,CN32DRR04B
5474,de-fid-quier-sh-09b,10.178.188.118,CN89FPB1CZ
5475,de-fid-quier-sh-12a,10.178.220.102,CN78DRW0VV
5477,de-fid-rehli-sh-05a,10.178.211.238,CN89FPB0WY
5478,de-fid-riege-sh-05b,10.178.177.6,CN32DRR0FQ
5480,de-fid-saarb-sh-01a,10.178.175.206,CN89FPB0XK
5481,de-fid-saarb-sh-02b,10.178.176.214,CN89FPB0YG
5482,de-fid-saarb-sh-59a,10.178.191.230,CN32DRR0P7
5483,de-fid-saarb-sh-82e,10.178.178.246,CN7AFPB2MB
5484,de-fid-saarb-sh-86b,10.178.194.62,CN6BFPB0NG
5485,de-fid-saarb-sh-90a,10.178.208.86,CN89FPB022
5503,de-fid-saarl-sh-09a,10.178.214.222,CN89FPB0WN
5504,de-fid-saarw-sh-09a,10.178.167.118,CN89FPB192
5505,de-fid-saarw-sh-09b,10.178.167.117,CN89FPB13C
5511,de-fid-schw7-sh-03c,10.178.212.46,CN7AFPB2T3
5520,de-fid-voelk-sh-09g,10.178.147.206,CN92FPB0MQ
5521,de-fid-voelk-sh-09h,10.178.147.205,CN95FP376W
5522,de-fid-voelk-sh-09i,10.178.147.204,CN95FP37FJ
5523,de-fid-voelk-sh-09j,10.178.147.203,CN95FP316K
5524,de-fid-voelk-sh-18a,10.178.215.182,CN89FPB1DZ
5526,de-fid-wadga-sh-08d,10.178.200.166,CN8AFP32QY
5527,de-fid-wadga-sh-09a,10.178.168.46,CN89FPB0XL
5528,de-fid-walle-sh-11a,10.178.157.190,CN89FPB18R
5529,de-fid-eiche-sh-07a,10.51.171.78,CN57DRW0RF
5628,de-fid-calw1-sh-01a,10.51.185.54,CN4AFPC4PH
5705,de-fid-dorma-sh-01a,10.57.236.222,CN11FPC0NR
5726,de-fid-neuss-sh-01a,10.57.226.69,CN11FPC0NM
5752,de-fid-elsen-sh-03b,10.51.152.252,CN8AFPC017
5753,de-fid-elsen-sh-03c,10.51.178.38,CN89FPB137
5754,de-fid-escha-sh-02a,10.51.152.254,CN84DRW054
5755,de-fid-escha-sh-02b,10.51.152.253,CN7BDRW07K
5756,de-fid-escha-sh-05b,10.51.171.94,CN8AFPC0C0
5757,de-fid-moenc-sh-02b,10.51.170.254,CN38DRW0WL
5965,de-fid-dommi-sh-02a,10.178.214.94,CN49FPB0TH
6083,de-fid-calle-sh-01b,10.178.163.70,CN89FPB1FM
6088,de-fid-licht-sh-11b,10.178.186.230,CN7BFPB1T0
6119,de-fid-auerb-sh-01a,10.178.158.246,CN40FPB0GM
6120,de-fid-auerb-sh-01b,10.178.158.245,CN51FPB2D0
6122,de-fid-falke-sh-02a,10.178.193.110,CN51FPB1WY
6123,de-fid-greiz-sh-03a,10.178.187.94,CN3ADRW1PN
6127,de-fid-markn-sh-01a,10.178.207.182,CN49FPB0MW
6129,de-fid-oelsn-sh-01a,10.178.160.174,CN51FPB1VP
6130,de-fid-oelsn-sh-01b,10.178.160.173,CN51FPB21Y
6141,de-fid-reich-sh-22a,10.178.168.174,CN51FPB1P7
6142,de-fid-reich-sh-22b,10.178.168.173,CN51FPB2GR
6145,de-fid-schoe-sh-01a,10.178.214.38,CN40FPB009
6146,de-fid-treue-sh-11a,10.178.179.102,CN51FPB1HQ
6148,de-fid-zeule-sh-01a,10.178.163.54,CN51FPB2B8
6149,de-fid-zeule-sh-01b,10.178.163.53,CN51FPB2DM
6151,de-fid-muels-sh-61a,10.178.178.62,CN93FPC14D
6152,de-fid-werda-sh-02a,10.178.200.150,CN72FPB0X8
6153,de-fid-wilka-sh-03a,10.178.191.198,CN89FPB0DV
6157,de-fid-zwick-sh-09a,10.178.194.190,CN93FPC0SD
6164,de-fid-regen-sh-03a,10.51.209.174,CN00FP30QN
6165,de-fid-wenze-sh-01c,10.51.189.22,CN75DRW07L
6166,de-fid-brenn-sh-01b,10.51.161.86,CN89FPB18B
6167,de-fid-falke-sh-12c,10.51.152.246,CN49FPB0MR
6168,de-fid-falke-sh-12d,10.51.152.245,CN68FP62M5
6169,de-fid-miche-sh-07b,10.51.187.102,CN89FPB181
6170,de-fid-walds-sh-14b,10.51.183.30,CN89FPB183
6171,de-fid-wiese-sh-01a,10.51.181.150,CN74FPB0D0
6172,de-fid-woert-sh-20b,10.51.166.254,CN89FPB16Y
6173,de-fid-ahann-sh-01b,10.51.181.166,CN83FPB0KB
6174,de-fid-aufha-sh-01b,10.51.198.214,CN85FPB05M
6175,de-fid-barbi-sh-01c,10.51.147.110,CN81FPB2V3
6176,de-fid-barbi-sh-01d,10.51.147.109,CN81FPB2B7
6184,de-fid-langq-sh-01b,10.51.177.62,CN83FPB09Z
6185,de-fid-mintr-sh-01a,10.51.154.206,CN6BDRW015
6186,de-fid-mintr-sh-01b,10.51.154.205,CN6BDRW01K
6187,de-fid-neutr-sh-01b,10.51.156.70,CN81FPB2HD
6188,de-fid-neutr-sh-01d,10.51.156.69,CN81FPB2W4
6189,de-fid-obert-sh-01a,10.51.152.206,CN6BDRW01Y
6190,de-fid-pfako-sh-01b,10.51.205.110,CN81FPB12H
6191,de-fid-pfatt-sh-01c,10.51.160.78,CN81FPB1MP
6192,de-fid-regen-sh-10b,10.51.161.14,CN83FPB0LP
6193,de-fid-regen-sh-11b,10.51.192.86,CN83FPC06J
6194,de-fid-schie-sh-02c,10.51.154.246,CN60DRW014
6195,de-fid-schie-sh-02d,10.51.154.245,CN60DRW0PQ
6196,de-fid-schie-sh-03b,10.51.162.30,CN81FPB2CW
6197,de-fid-suenc-sh-01a,10.51.149.110,CN7AFPB3GX
6198,de-fid-suenc-sh-01b,10.51.149.109,CN7AFPB1H7
6199,de-fid-teger-sh-01b,10.51.186.142,CN64FPB1KD
6200,de-fid-thalm-sh-01b,10.51.172.38,CN81FPB2NL
6201,de-fid-abbac-sh-01a,10.51.146.150,CN64FP75W1
6202,de-fid-abbac-sh-01c,10.51.146.148,CN7AFPB0H6
6203,de-fid-abens-sh-01b,10.51.165.126,CN60DRW0LH
6204,de-fid-abens-sh-02a,10.51.206.182,CN68FPB0VV
6205,de-fid-abens-sh-03a,10.51.190.126,CN68FPB0JP
6206,de-fid-abens-sh-04a,10.51.186.118,CN68FPB0FJ
6207,de-fid-altma-sh-01a,10.51.195.158,CN44FP60MT
6208,de-fid-badab-sh-01d,10.176.53.109,CN58FP733B
6209,de-fid-badab-sh-01e,10.176.53.110,CN7AFPB1QC
6210,de-fid-badgo-sh-01a,10.51.165.78,CN68FPB0SF
6211,de-fid-hause-sh-01a,10.51.183.254,CN7AFPB15W
6212,de-fid-hause-sh-02a,10.51.155.222,CN64FP757N
6213,de-fid-hause-sh-02b,10.51.155.221,CN7AFPB1R1
6214,de-fid-ihrle-sh-02a,10.51.154.126,CN67FP702B
6215,de-fid-ihrle-sh-02b,10.51.154.125,CN7AFPB1KM
6216,de-fid-kelhe-sh-01a,10.51.148.110,CN64FP62NS
6217,de-fid-kelhe-sh-01b,10.51.148.109,CN7AFPB18K
6218,de-fid-kelhe-sh-02a,10.51.150.246,CN64FP62B5
6219,de-fid-kelhe-sh-02b,10.51.150.245,CN7AFPB1BN
6221,de-fid-neust-sh-01a,10.51.199.14,CN68FPB0FF
6222,de-fid-neust-sh-23a,10.51.139.29,CN85FP3792
6223,de-fid-neust-sh-23b,10.51.139.28,CN85FP376D
6224,de-fid-neust-sh-23c,10.51.139.27,CN85FP379Z
6226,de-fid-saal0-sh-02b,10.51.175.230,CN7AFPB12D
6227,de-fid-teugn-sh-01a,10.51.177.94,CN7AFPB1G1
6228,de-fid-train-sh-01a,10.51.165.198,CN68FPB0S3
6229,FNH000WC,10.51.144.146,CN0AFPB08N
6230,FNH000XD,10.51.144.147,CN0BFP31T9
6314,de-fid-gruib-sh-03b,10.178.167.182,CN29DRW2Y0
6338,de-fid-erfur-sh-03a,10.51.164.182,CN6BDRR19X
6370,de-fid-leipz-sh-19b,10.178.198.54,CN94FPC0ZQ
6459,de-fid-aub01-sh-01a,10.51.197.54,CN81FPB2PB
6460,de-fid-eibel-sh-01a,10.51.204.86,CN88FPB19X
6461,de-fid-frick-sh-01a,10.176.84.54,CN7BFPB11J
6462,de-fid-gerbr-sh-01a,10.51.190.166,CN83FPB1VL
6463,de-fid-gerol-sh-01a,10.176.84.62,CN83FPB1MF
6464,de-fid-giebe-sh-06a,10.51.172.222,CN87FP3466
6465,de-fid-guent-sh-02a,10.51.163.6,CN7BFPB1MS
6466,de-fid-hetts-sh-01a,10.51.159.126,CN7BFPB14D
6467,de-fid-leina-sh-01a,10.51.191.86,CN7AFPB6GH
6468,de-fid-marge-sh-01a,10.51.169.94,CN7BFPB1TP
6469,de-fid-ochse-sh-08a,10.51.193.126,CN87FP34RM
6470,de-fid-ochse-sh-08c,10.51.193.125,CN7BFPB1DB
6471,de-fid-rande-sh-01a,10.51.189.254,CN7BFPB1MN
6472,de-fid-reich-sh-15b,10.51.148.6,CN75FP62FX
6473,de-fid-reich-sh-15c,10.51.148.5,CN6BDRW03Z
6474,de-fid-retzs-sh-01a,10.51.187.70,CN7AFPB3G3
6475,de-fid-rimpa-sh-02a,10.51.174.126,CN87FP3490
6476,de-fid-roett-sh-01a,10.51.207.14,CN88FPB1C6
6477,de-fid-rotte-sh-02a,10.51.197.30,CN7BFPB1FG
6478,de-fid-somme-sh-01a,10.51.192.110,CN7BFPB1QZ
6479,de-fid-teilh-sh-01a,10.51.170.110,CN7BFPB129
6480,de-fid-thung-sh-01a,10.51.163.62,CN43DRR0HM
6481,de-fid-veits-sh-01a,10.51.187.134,CN7AFPB3Y7
6482,de-fid-veits-sh-02a,10.51.174.150,CN87FP34GH
6483,de-fid-winter-sh-01a,10.176.84.30,CN78FPB1SS
6499,de-fid-wuerz-sh-01a,10.51.181.22,CN7AFPB6J1
6500,de-fid-wuerz-sh-02a,10.51.178.254,CN7AFPB3SV
6501,de-fid-wuerz-sh-04a,10.51.157.166,CN7BFPB10G
6502,de-fid-wuerz-sh-05a,10.51.194.22,CN78FPB1TC
6503,de-fid-wuerz-sh-06a,10.51.195.174,CN7BFPB0YX
6504,de-fid-wuerz-sh-07a,10.51.164.38,CN83FPB21V
6505,de-fid-zella-sh-01a,10.51.194.46,CN7AFPB3JW
6506,de-fid-zelli-sh-01a,10.51.201.246,CN87FP32BL
